CODE_UIC;LIBELLE_GARE;FRET;VOYAGEURS;CODE_LIGNE;RANG;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X (lambert93);Y (lambert93);X (WGS84);Y (WGS84);coordonnees_geographiques
87295725;Avesnelles;N;O;267000;2;94+894;Avesnelles;Nord;30000003025;d9a45c1a-6667-11e3-89ff-01f464e0362d;767733.5943000019;7002796.7743999995;3.946104821951606;50.11977556237729;50.1197755624, 3.94610482195
87295667;Ors;N;O;242000;1;196+506;Ors;Nord;30000005875;e00ac06e-19bf-11e5-82ff-01fc64e0362d;744878.824000001;7000709.6534;3.6266541900316454;50.10307653946187;50.1030765394, 3.62665419003
87295451;Trélon-Glageon;N;N;240000;1;119+087;Trélon;Nord;30000008075;e543b9a6-6667-11e3-a7ff-01f464e0362d;;;;;
87295691;Effry;N;N;237000;1;29+800;Luzoir;Aisne;30000080946;e553811c-6667-11e3-a7ff-01f464e0362d;;;;;
87296061;Le Nouvion-en-Thiérache;N;N;238000;1;207+804;Le Nouvion-en-Thiérache;Aisne;30000008604;e543ce08-6667-11e3-a7ff-01f464e0362d;755980.3927000016;6990341.484499998;3.780228591729768;50.0090709758465;50.0090709758, 3.78022859173
87296368;Bucy-lès-Pierrepont;N;N;228000;1;162+185;Bucy-lès-Pierrepont;Aisne;30000003431;e540e3fe-6667-11e3-a7ff-01f464e0362d;764683.2030000016;6951131.3972;3.895318389147441;49.65600071338262;49.6560007134, 3.89531838915
87296145;Origny-en-Thiérache;N;O;229000;1;191+137;Origny-en-Thiérache;Aisne;30000005869;c11b75fc-f312-11e3-90ff-015864e0362d;773662.113499999;6977363.742199998;4.024297576660078;49.89068926048639;49.8906892605, 4.02429757666
87296103;St-Gobert-Rougeries;N;N;229000;1;171+961;St-Gobert;Aisne;30000008605;e5405780-6667-11e3-a7ff-01f464e0362d;758409.0480000004;6967418.521200001;3.810795278702676;49.802941762652964;49.8029417626, 3.8107952787
87296574;Landricourt;N;N;234000;1;129+051;Landricourt;Aisne;30000080951;e5453162-6667-11e3-a7ff-01f464e0362d;726423.9738999978;6933858.579100002;3.3646587284829788;49.5035239496154;49.5035239496, 3.36465872848
87296384;Montcornet;O;N;228000;1;173+615;Montcornet;Aisne;30000005596;e1bcb6e8-19bf-11e5-a6ff-01fc64e0362d;773369.1449000016;6955898.120099999;4.016382371029833;49.69788469745514;49.6978846974, 4.01638237103
87296434;Mennessis;N;O;242000;1;135+390;Mennessis;Aisne;30000005446;d98520ba-6667-11e3-89ff-01f464e0362d;719516.3003000021;6954798.1173;3.2703209093841124;49.69194346032663;49.6919434603, 3.27032090938
87296459;Appilly;N;O;242000;1;115+272;Appilly;Oise;30000002910;2946b6f6-dfbc-11e3-a2ff-01a464e0362d;708753.0148999989;6942381.220800001;3.1209751774163426;49.580604880191174;49.5806048802, 3.12097517742
87296244;Busigny;N;O;250000;1;180+330;;;30000003439;c01bf4d8-f312-11e3-90ff-015864e0362d;732353.1947999969;6994387.4673999995;3.4512557737328877;50.04706477566792;50.0470647757, 3.45125577373
87297127;Barenton-Cohartille;N;N;229000;1;152+468;Barenton-sur-Serre;Aisne;30000003090;e547b9e0-6667-11e3-a7ff-01f464e0362d;748959.373999998;6952508.1044000015;3.677851578076322;49.66977829846104;49.6697782984, 3.67785157808
87297085;La Bouteille;N;O;229000;1;186+430;La Bouteille;Aisne;30000004602;c101ed7c-f312-11e3-90ff-015864e0362d;770718.8958000019;6973924.562100001;3.982780234602766;49.860132006253636;49.8601320062, 3.9827802346
87297143;Dercy-Froidmont;N;O;229000;1;156+461;Dercy;Aisne;30000003935;d9914cb2-6667-11e3-89ff-01f464e0362d;749952.1538999975;6956173.6021;3.6920408688492588;49.70263602649007;49.7026360265, 3.69204086885
87297283;Vauxaillon;N;O;229000;1;118+504;Vauxaillon;Aisne;30000007122;28f60c58-dfbc-11e3-a2ff-01a464e0362d;729713.2387000024;6930612.8226;3.4098183219613105;49.474208033273015;49.4742080333, 3.40981832196
87297333;Abbecourt;N;N;242000;1;119+864;Abbécourt;Aisne;30000002788;e549db48-6667-11e3-a7ff-01f464e0362d;712970.6224000007;6944212.9219;3.1793239388602794;49.596993384257075;49.5969933842, 3.17932393886
87296624;Guise;N;N;236000;1;189+062;Guise;Aisne;30000008609;e5408884-6667-11e3-a7ff-01f464e0362d;744361.3229999989;6978664.135200001;3.6170231396759527;49.9051059562149;49.9051059562, 3.61702313968
87297168;Lugny;N;N;229000;1;168+282;Lugny;Aisne;30000005266;e5401684-6667-11e3-a7ff-01f464e0362d;757790.7146999985;6964564.8149;3.8018103517132906;49.77736098732248;49.7773609873, 3.80181035171
87297028;Montay;N;N;252000;1;81+540;Montay;Nord;30000008009;e544b90c-6667-11e3-a7ff-01f464e0362d;;;;;
87381897;Conflans-Ste-Honorine;N;O;334000;1;24+570;Conflans-Ste-Honorine;Yvelines;30000003799;e1ab09a0-19bf-11e5-a6ff-01fc64e0362d;634036.2683999985;6877841.133900002;2.0985394201102645;48.99710364626656;48.9971036462, 2.09853942011
